PID,SFT,W,P,S,B,F,G,T7,T3,U,Fi,BW,BP,BS
70ba3105-c27c-4f96-8ddb-a484063184cb,0.44,0.0,0.0,0.0,4.0,4.571428571428571,4.857142857142857,30.681428571428572,30.623333333333335,3,8,0,0,0
2b782146-15a6-40f9-9ce3-7b0942d77ada,0.08,0.14285714285714285,0.0,0.0,3.142857142857143,3.142857142857143,2.7142857142857144,30.787142857142857,30.736666666666668,0,2,0,0,0
4c548751-c7b2-4608-9275-ba88efff63e6,0.30,0.0,0.0,0.0,5.75,6.25,4.0,30.5525,30.64,0,3,0,0,0
c2610c42-da71-42cb-9718-43a1d5911455,0.23,0.0,0.0,0.14285714285714285,4.714285714285714,2.857142857142857,2.4285714285714284,30.684285714285714,30.39,0,4,0,0,0
612cbdd7-8376-461c-b7c3-574c38fbb977,0.13,0.0,0.14285714285714285,0.0,4.0,4.285714285714286,2.8333333333333335,30.66,30.573333333333334,0,5,0,0,0
cb63c5b7-6d0a-41f6-b394-378d93246db4,0.09,0.0,0.0,0.0,4.857142857142857,4.0,4.571428571428571,30.497142857142858,30.633333333333333,3,6,0,0,0
7f6e52f1-b001-4383-9bef-5808e05b9e9d,0.34,0.0,0.0,0.0,4.857142857142857,5.0,4.714285714285714,30.69142857142857,30.546666666666667,2,7,0,0,0
c9a407d5-e9cc-45db-9921-dc72c4e5b0ff,0.00,0.0,0.14285714285714285,0.0,3.0,4.285714285714286,4.571428571428571,30.602857142857143,30.33,0,8,0,0,0
53b68b5c-eec4-465a-b13e-00a044eafb71,0.11,0.0,0.0,0.14285714285714285,4.857142857142857,3.2857142857142856,4.0,30.355714285714285,30.406666666666666,0,1,0,0,0
8920cf28-9418-4bc3-8a49-4e3760a09f02,0.42,0.0,0.0,0.14285714285714285,3.7142857142857144,4.571428571428571,4.571428571428571,30.667142857142856,30.573333333333334,0,2,0,0,0
60d82014-4538-4f61-8dfa-d589d379e622,0.00,0.0,0.0,0.0,3.2857142857142856,3.857142857142857,3.5714285714285716,30.595714285714287,30.493333333333332,0,4,0,0,0
b9ec6f5a-a72c-44c9-ad08-b7cb9a403a7a,0.32,0.14285714285714285,0.0,0.0,4.428571428571429,4.142857142857143,3.4285714285714284,30.677142857142858,30.483333333333334,0,5,0,0,0
7711fc7b-d878-4940-83ab-544f76203164,0.49,0.14285714285714285,0.0,0.0,3.2857142857142856,4.857142857142857,3.4285714285714284,30.76,30.746666666666666,0,6,0,0,0
